Feature,Importance
BMI,0.4304424393712421
Pima_DiabetesPedigreeFunction,0.1674722858527615
Pima_Glucose,0.1328767898849565
Pima_Pregnancies,0.08994678698734844
Pima_BloodPressure,0.06706843123988054
Age,0.03621585492247108
CDC_Age_Category,0.030749126777444385
Pima_Insulin,0.02099877257898277
Pima_SkinThickness,0.020440506447187368
CDC_BMI,0.0037889639330611694
CDC_HighChol,4.101678619221336e-08
CDC_CholCheck,9.878485895439499e-10
CDC_PhysHlth,1.1309847802877187e-14
CDC_Income,8.878104545890366e-15
CDC_Veggies,4.636887285252618e-15
CDC_Sex,2.3703595297723424e-15
CDC_Education,8.661548845340624e-16
CDC_HighBP,7.164457346524436e-16
CDC_MentHlth,3.056596494997654e-16
CDC_Fruits,1.9392039726144484e-16
CDC_PhysActivity,8.881386398245623e-17
CDC_HvyAlcoholConsump,1.0061060220219223e-17
CDC_Smoker,2.314769798963412e-18
CDC_NoDocbcCost,1.8276152470002833e-18
CDC_AnyHealthcare,4.606238410745923e-19
CDC_HeartDiseaseorAttack,0.0
CDC_DiffWalk,0.0
CDC_Stroke,0.0
CDC_GenHlth,-2.6047497744538872e-17
